class_id,support,acc,recall,f1,auc,bac,bacc,sens,spec,precision,epoch,split,class_name
0,453,0.04856512141280353,0.04856512141280353,0.08747514910536779,0.6792041116379182,0.04856512141280353,0.5175647104184938,0.04856512141280353,0.9865642994241842,0.44,1,val,MEL
1,1288,0.9937888198757764,0.9937888198757764,0.6781456953642383,0.7594715523971971,0.9937888198757764,0.5137078606984967,0.9937888198757764,0.03362690152121697,0.5146763168476075,1,val,NV
2,333,0.0,0.0,0.0,0.6526980701209376,0.0,0.5,0.0,1.0,0.0,1,val,BCC
3,87,0.0,0.0,0.0,0.6476002814919071,0.0,0.5,0.0,1.0,0.0,1,val,AK
4,263,0.0,0.0,0.0,0.5634081416308008,0.0,0.5,0.0,1.0,0.0,1,val,BKL
5,24,0.0,0.0,0.0,0.5182053322721846,0.0,0.5,0.0,1.0,0.0,1,val,DF
6,26,0.0,0.0,0.0,0.5085470085470085,0.0,0.5,0.0,1.0,0.0,1,val,VASC
7,63,0.0,0.0,0.0,0.6885321630673288,0.0,0.5,0.0,1.0,0.0,1,val,SCC
0,904,0.04424778761061947,0.04424778761061947,0.07912957467853611,0.6769443723873393,0.04424778761061947,0.5140748789086255,0.04424778761061947,0.9839019702066314,0.37383177570093457,1,test,MEL
1,2575,0.9941747572815534,0.9941747572815534,0.6795858773559863,0.7725307027629564,0.9941747572815534,0.5155538579663488,0.9941747572815534,0.03693295865114412,0.5162331115144182,1,test,NV
2,664,0.0,0.0,0.0,0.6597124527186438,0.0,0.5,0.0,1.0,0.0,1,test,BCC
3,174,0.0,0.0,0.0,0.6347426245993929,0.0,0.5,0.0,1.0,0.0,1,test,AK
4,525,0.0,0.0,0.0,0.5766155975713342,0.0,0.5,0.0,1.0,0.0,1,test,BKL
5,48,0.0,0.0,0.0,0.5229797728178558,0.0,0.5,0.0,1.0,0.0,1,test,DF
6,50,0.0,0.0,0.0,0.5706379585326954,0.0,0.5,0.0,1.0,0.0,1,test,VASC
7,126,0.0,0.0,0.0,0.6704292783240151,0.0,0.5,0.0,1.0,0.0,1,test,SCC
0,453,0.10596026490066225,0.10596026490066225,0.18113207547169813,0.7418182472999368,0.10596026490066225,0.5460223589378551,0.10596026490066225,0.986084452975048,0.6233766233766234,2,val,MEL
1,1288,0.9805900621118012,0.9805900621118012,0.7139626907857546,0.8428851777073834,0.9805900621118012,0.5951789381816012,0.9805900621118012,0.20976781425140112,0.5613333333333334,2,val,NV
2,333,0.24624624624624625,0.24624624624624625,0.30258302583025826,0.7752175950905533,0.24624624624624625,0.5943118708545205,0.24624624624624625,0.9423774954627949,0.3923444976076555,2,val,BCC
3,87,0.0,0.0,0.0,0.7499601219798263,0.0,0.5,0.0,1.0,0.0,2,val,AK
4,263,0.0038022813688212928,0.0038022813688212928,0.007575757575757576,0.650986018172029,0.0038022813688212928,0.5019011406844106,0.0038022813688212928,1.0,1.0,2,val,BKL
5,24,0.0,0.0,0.0,0.5574346730335589,0.0,0.5,0.0,1.0,0.0,2,val,DF
6,26,0.0,0.0,0.0,0.5397022332506204,0.0,0.5,0.0,1.0,0.0,2,val,VASC
7,63,0.0,0.0,0.0,0.7503817479565256,0.0,0.5,0.0,1.0,0.0,2,val,SCC
0,904,0.07853982300884955,0.07853982300884955,0.13653846153846155,0.7232028190157047,0.07853982300884955,0.531461165709134,0.07853982300884955,0.9843825084094185,0.5220588235294118,2,test,MEL
1,2575,0.9856310679611651,0.9856310679611651,0.7176587021066025,0.8483274545645879,0.9856310679611651,0.5993992353053517,0.9856310679611651,0.21316740264953835,0.5642507781236105,2,test,NV
2,664,0.23493975903614459,0.23493975903614459,0.2851919561243144,0.780470473443068,0.23493975903614459,0.5863476623440604,0.23493975903614459,0.9377555656519764,0.3627906976744186,2,test,BCC
3,174,0.0,0.0,0.0,0.7410691628838074,0.0,0.5,0.0,1.0,0.0,2,test,AK
4,525,0.0,0.0,0.0,0.6761908956491647,0.0,0.4997797841885047,0.0,0.9995595683770094,0.0,2,test,BKL
5,48,0.0,0.0,0.0,0.5513235684867809,0.0,0.5,0.0,1.0,0.0,2,test,DF
6,50,0.0,0.0,0.0,0.5290829346092504,0.0,0.5,0.0,1.0,0.0,2,test,VASC
7,126,0.0,0.0,0.0,0.7073517126148706,0.0,0.5,0.0,1.0,0.0,2,test,SCC
0,453,0.5584988962472406,0.5584988962472406,0.4310051107325383,0.7723155080440484,0.5584988962472406,0.6669653790257316,0.5584988962472406,0.7754318618042226,0.3509015256588072,3,val,MEL
1,1288,0.90527950310559,0.90527950310559,0.7734660033167494,0.8651405596526912,0.90527950310559,0.7280600878218102,0.90527950310559,0.5508406725380304,0.6751592356687898,3,val,NV
2,333,0.12012012012012012,0.12012012012012012,0.1975308641975309,0.8305060959325932,0.12012012012012012,0.5528005319293886,0.12012012012012012,0.985480943738657,0.5555555555555556,3,val,BCC
3,87,0.0,0.0,0.0,0.7873375557119399,0.0,0.5,0.0,1.0,0.0,3,val,AK
4,263,0.015209125475285171,0.015209125475285171,0.028571428571428567,0.688764710013343,0.015209125475285171,0.5047461634412486,0.015209125475285171,0.9942832014072119,0.23529411764705882,3,val,BKL
5,24,0.0,0.0,0.0,0.5969624618649688,0.0,0.5,0.0,1.0,0.0,3,val,DF
6,26,0.0,0.0,0.0,0.5890236804215299,0.0,0.5,0.0,1.0,0.0,3,val,VASC
7,63,0.0,0.0,0.0,0.7565987861056577,0.0,0.5,0.0,1.0,0.0,3,val,SCC
0,904,0.5066371681415929,0.5066371681415929,0.40370207139709124,0.7512525090047756,0.5066371681415929,0.6443565465888166,0.5066371681415929,0.7820759250360404,0.3355311355311355,3,test,MEL
1,2575,0.92,0.92,0.780946101862535,0.8695889279074572,0.92,0.7345885186672019,0.92,0.5491770373344038,0.6784077892325315,3,test,NV
2,664,0.10542168674698796,0.10542168674698796,0.16867469879518074,0.827379942304429,0.10542168674698796,0.5418067088891687,0.10542168674698796,0.9781917310313494,0.42168674698795183,3,test,BCC
3,174,0.0,0.0,0.0,0.7822659091549891,0.0,0.5,0.0,1.0,0.0,3,test,AK
4,525,0.017142857142857144,0.017142857142857144,0.03169014084507042,0.7057904174662597,0.017142857142857144,0.5048277597760091,0.017142857142857144,0.992512662409161,0.20930232558139536,3,test,BKL
5,48,0.0,0.0,0.0,0.6146954297861033,0.0,0.5,0.0,1.0,0.0,3,test,DF
